Mom,ID,f.ind,Mi,RGR23,RGR29,RGR11,RGR17,RGR35,expt
35,3,35_3,13.89,0.024608523,0.043367969,0.0040149,0.009186397,0.022024197,July 8 2023
35,4,35_4,12.25,0.023471842,0.032286607,0.005483884,0.010641021,0.019538838,July 8 2023
35,5,35_5,18.53,0.022658287,0.041439008,0.004467671,0.013257215,0.011351911,July 8 2023
35,6,35_6,11.95,0.025010058,0.041259879,0.001239546,0.006559071,0.028848212,July 8 2023
35,7,35_7,10.01,0.022362815,0.025696053,0.002446122,0.016647422,0.040312167,July 8 2023
35,8,35_8,10.39,0.025059522,0.023623249,0.004343306,0.010923081,0.01054648,July 8 2023
36,1,36_1,17.01,0.023808684,0.031407055,0.004830949,0.01229408,0.010820267,July 8 2023
36,2,36_2,8.61,0.041514051,0.030926184,0.008470168,0.018220263,0.016462055,July 8 2023
36,3,36_3,13.11,0.037802303,0.045244221,0.003736583,0.013077746,0.027138059,July 8 2023
36,4,36_4,11.85,0.050225317,0.029325449,0.002095546,0.00997479,0.041808191,July 8 2023
36,5,36_5,16.56,0.016905159,0.034914023,0.003653449,0.011587328,0.016107315,July 8 2023
36,6,36_6,13.99,0.003587645,0.015741216,-0.001509138,0.014082643,0.023304331,July 8 2023
36,7,36_7,17.43,0.02762473,0.027095157,0.002466786,0.012448172,0.025127345,July 8 2023
36,8,36_8,17.87,0.039915863,0.019499038,0.008681661,-0.001225465,0.026734624,July 8 2023
36,9,36_9,15.38,0.038965245,0.01729339,0.002892366,0.011852348,0.034602673,July 8 2023
36,11,36_11,10.25,0.026885215,0.022030641,0.005947756,0.012463049,-0.001420076,July 8 2023
36,12,36_12,15.49,0.020679542,0.033492759,0.003429983,0.011700911,0.02438265,July 8 2023
36,13,36_13,14.14,0.017806397,0.031770999,0.003833948,0.0081118,0.029350226,July 8 2023
30Jul_1,1,30Jul_1_1,10.83,0.027486438,0.013088276,0.00457996,0.010145752,0.02577377,July 30 2023
30Jul_1,2,30Jul_1_2,10.17,0.022484089,0.026855887,0.006794163,0.001687226,0.010979125,July 30 2023
30Jul_1,3,30Jul_1_3,14.16,0.015014322,0.03361504,0.003830766,0.009759613,0.01754125,July 30 2023
30Jul_1,4,30Jul_1_4,9.33,0.01718463,0.030892545,0.001444164,0.016581993,0.011345511,July 30 2023
30Jul_1,5,30Jul_1_5,13.29,0.022829717,0.011858718,0.003707242,0.018489496,-0.003657537,July 30 2023
30Jul_2,1,30Jul_2_1,12.79,0.030446603,0.015551465,0.013891484,0.00214855,0.006193024,July 30 2023
30Jul_2,2,30Jul_2_2,20.54,0.013175077,0.02228884,0.001915188,0.013635035,0.012046465,July 30 2023
30Jul_2,3,30Jul_2_3,17.63,0.01428994,0.030696351,0.003481139,0.005152636,0.003834403,July 30 2023
30Jul_2,4,30Jul_2_4,12.07,0.01295791,0.022163453,0.003913453,0.012656422,0.009382702,July 30 2023
30Jul_2,5,30Jul_2_5,10.54,0.020411625,0.021924868,0.00127337,0.010545823,0.028563224,July 30 2023
30Jul_2,6,30Jul_2_6,12.79,0.012872987,0.028142439,0.007955618,0.005799018,0.009726668,July 30 2023
30Jul_3,1,30Jul_3_1,9.26,0.029312454,0.015383716,0.005328919,0.017467287,0.025509107,July 30 2023
30Jul_3,2,30Jul_3_2,14.25,0.025952474,0.029129709,0.005235266,0.007009406,0.015455318,July 30 2023
30Jul_3,3,30Jul_3_3,15.07,0.027247464,0.022304963,0.006536878,0.005052115,0.024213582,July 30 2023
30Jul_3,4,30Jul_3_4,10.93,0.016866346,0.021700333,0.002748047,0.004809411,0.024461909,July 30 2023
30Jul_4,1,30Jul_4_1,18.42,NA,NA,NA,NA,NA,July 30 2023
30Jul_4,2,30Jul_4_2,13.89,0.013691775,0.007329167,-2.15E-05,0.014974072,0.011044236,July 30 2023
30Jul_4,3,30Jul_4_3,13.95,0.017604515,0.030941709,0.003054762,0.014679997,0.000720459,July 30 2023
30Jul_4,4,30Jul_4_4,13.32,0.032037409,0.025815576,-0.00125082,0.011859964,0.006896631,July 30 2023
30Jul_4,5,30Jul_4_5,9.46,0.010731282,0.027862523,0.005782881,0.001307849,0.01747859,July 30 2023
30Jul_4,6,30Jul_4_6,14.87,0.016718512,0.022470114,0.00357587,0.003723246,0.012383536,July 30 2023
30Jul_4,7,30Jul_4_7,13.76,0.023519432,0.017696549,0.007303404,0.002861642,0.021499367,July 30 2023
30Jul_4,8,30Jul_4_8,9.91,0.031901509,0.017531628,0.001210131,0.016979841,0.018815214,July 30 2023
30Jul_4,9,30Jul_4_9,8.61,0.025186069,0.006619715,0.008208394,0.008810877,-0.001385855,July 30 2023
30Jul_4,10,30Jul_4_10,11.07,0.029055037,0.018084173,0.001196514,0.005338746,0.029777559,July 30 2023
30Jul_4,11,30Jul_4_11,10.67,0.016952223,0.027773567,0.004567396,0.00669814,0.016681259,July 30 2023
30Jul_5,1,30Jul_5_1,15.99,0.026725204,0.011544117,0.008498036,0.004345747,0.011962444,July 30 2023
30Jul_5,2,30Jul_5_2,17.8,0.018590281,0.01353076,0.007802167,0.006716989,-0.008398217,July 30 2023
30Jul_5,3,30Jul_5_3,18.39,0.025101136,0.011849654,0.00309466,0.010035737,0.013859183,July 30 2023
30Jul_5,4,30Jul_5_4,15.94,0.02393725,0.029732789,-0.00053,0.009265157,0.010917846,July 30 2023
30Jul_5,5,30Jul_5_5,14.74,0.017744696,0.003607011,0.003479232,0.006800327,0.011847372,July 30 2023
30Jul_5,6,30Jul_5_6,9.63,-0.004589967,0.036816978,0.003696988,0.007907062,0.017520474,July 30 2023
30Jul_5,7,30Jul_5_7,13.1,0.018696061,0.021466845,0.004424799,0.016733607,0.010109983,July 30 2023
30Jul_5,8,30Jul_5_8,9.95,0.015822207,-0.004321659,0.00012773,0.017462872,0.003464124,July 30 2023
30Jul_5,9,30Jul_5_9,9.48,0.022467127,0.009666508,0.008835275,0.002631026,0.012200573,July 30 2023
30Jul_5,10,30Jul_5_10,19.77,0.024634463,0.018276011,0.004506526,0.014285292,0.014988035,July 30 2023
30Jul_5,11,30Jul_5_11,14.48,0.013990025,0.025721985,0.0074856,0.011967017,0.002169275,July 30 2023
30Jul_6,1,30Jul_6_1,9.53,0.020397728,0.017839752,0.005316488,0.001312612,0.015904482,July 30 2023
30Jul_6,2,30Jul_6_2,9.14,0.023212778,0.038117569,0.005297738,0.010418289,0.01427334,July 30 2023
30Jul_6,3,30Jul_6_3,16.57,0.022132668,0.01218937,0.008016914,0.009029067,0.026392176,July 30 2023
30Jul_6,4,30Jul_6_4,13.34,0.036863465,0,0.002940833,0.020194567,0.008486913,July 30 2023
