"","X","UniID","mom","ID","temp","active","instar","time","duration","Mo","fw","time.per","mgain","rgrlog","gr"
"3845",3845,"40.22.6","22",6,40,"y",4,6.383333333,6.383333333,13.82,20.23,"past",6.41,0.0259249879490235,1.00417754574434
"3850",3850,"41.5.14","5",14,41,"y",4,6.183333333,6.183333333,12.56,13.41,"past",0.85,0.00459932158252638,0.137466307285039
"3854",3854,"41.6.15","6",15,41,"y",4,6.183333333,6.183333333,13.43,16.37,"past",2.94,0.0139039353231042,0.475471698138839
"3857",3857,"41.13.6","13",6,41,"y",4,6.183333333,6.183333333,10.7,15.3,"past",4.6,0.0251171406696649,0.74393531001315
"3859",3859,"41.13.7","13",7,41,"y",4,6.183333333,6.183333333,15.39,16.19,"past",0.8,0.00355928230561964,0.12938005391533
"3862",3862,"41.13.8","13",8,41,"y",4,6.183333333,6.183333333,12.69,16.64,"past",3.95,0.0190336980915922,0.638814016206944
"3865",3865,"41.15.1","15",1,41,"y",4,6.183333333,6.183333333,14.01,13.67,"past",-0.34,-0.00172554512968101,-0.0549865229140154
"3868",3868,"41.19.9","19",9,41,"y",4,6.183333333,6.183333333,10.76,11.44,"past",0.68,0.00430411101801667,0.109973045828031
"3871",3871,"41.19.10","19",10,41,"y",4,6.183333333,6.183333333,10.78,12.32,"past",1.54,0.00937875153328514,0.249056603787011
"3873",3873,"41.19.11","19",11,41,"y",4,6.183333333,6.183333333,11.34,13.41,"past",2.07,0.0117761277571919,0.334770889505918
"3875",3875,"41.22.3","22",3,41,"y",4,6.183333333,6.183333333,12.1,13.69,"past",1.59,0.00867138724858712,0.257142857156719
"3878",3878,"41.22.4","22",4,41,"y",4,6.183333333,6.183333333,11.61,12.51,"past",0.9,0.0052439498582093,0.145552560654747
"3880",3880,"41.22.5","22",5,41,"y",4,6.183333333,6.183333333,13.33,12.18,"past",-1.15,-0.00633685085484338,-0.185983827503288
