"","Species","Population","Study.Site","Mom","ID","f.ind","Mi","RGR23","RGR29","RGR11","RGR17","RGR35","expt","Pupated","Time.to.Pupation","Pupa.wt","Eclosed","Time.to.Eclosion","Sex","Butt..Wt","Fecundity","period","uid"
"32","Pieris_rapae","Seattle_WA","Study.Site",19,1,"19_1_june",NA,-0.00444406815557527,NA,NA,NA,NA,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","19_1_june"
"33","Pieris_rapae","Seattle_WA","Study.Site",19,2,"19_2_june",48.63,0.0233008555211087,0.0176054246260622,0.00969355791725504,0.0111962034395867,0.0254838892815879,"june",1,11,181.93,1,20,"M",108.76,NA,"recent","19_2_june"
"34","Pieris_rapae","Seattle_WA","Study.Site",19,3,"19_3_june",NA,0.00522845118782118,NA,NA,NA,NA,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","19_3_june"
"35","Pieris_rapae","Seattle_WA","Study.Site",19,4,"19_4_june",48.81,0.0297121561758902,0.0286376306067752,0.00850040671500691,0.0120944980391305,0.0215254241683244,"june",1,11,196.23,1,20,"M",91.23,NA,"recent","19_4_june"
"36","Pieris_rapae","Seattle_WA","Study.Site",21,1,"21_1_june",48.14,0.0305427554999177,0.0293328420929684,0.0039469972328203,0.00606859005264347,0.0331001463996183,"june",1,10,190.75,1,19,"F",93.13,NA,"recent","21_1_june"
"37","Pieris_rapae","Seattle_WA","Study.Site",21,2,"21_2_june",55.41,0.0328251362948441,0.0308808061118192,0.00231535330224696,0.0117532016457739,0.0296318645502963,"june",1,10,209,1,19,"M",108.28,NA,"recent","21_2_june"
"38","Pieris_rapae","Seattle_WA","Study.Site",21,3,"21_3_june",46.59,0.0261874271021923,0.0235412740525923,0.00829660770530419,0.00848249091830052,0.0337275856414431,"june",1,10,193.67,1,19,"F",92.97,NA,"recent","21_3_june"
"39","Pieris_rapae","Seattle_WA","Study.Site",21,4,"21_4_june",49.21,0.0286256369747236,0.0353265947243532,0.00485243304810242,0.0100011023689008,0.0236763386471332,"june",1,10,223,1,20,"M",103.02,NA,"recent","21_4_june"
"40","Pieris_rapae","Seattle_WA","Study.Site",21,5,"21_5_june",49.82,0.0299463736126287,0.0246381544644579,0.0049352739088592,0.0103112198080709,0.0365194797977767,"june",1,11,206.09,1,20,"M",82.6,NA,"recent","21_5_june"
"41","Pieris_rapae","Seattle_WA","Study.Site",21,6,"21_6_june",40.99,0.0191956758571301,0.0313163806991173,0.00467599032308348,0.00931992266479522,0.0247738087811643,"june",1,11,170.03,1,19,"F",81.04,NA,"recent","21_6_june"
"42","Pieris_rapae","Seattle_WA","Study.Site",21,7,"21_7_june",47.06,0.0189746875914786,0.0145773551233033,0.0110347256217801,0.00762989943995955,0.0261841309667085,"june",1,10,195.7,1,18,"F",116.34,NA,"recent","21_7_june"
"43","Pieris_rapae","Seattle_WA","Study.Site",21,8,"21_8_june",45.5,0.0253546413205644,0.0295707361834891,0.00483045961005798,-0.000193581736475143,0.00673545472671931,"june",1,7,192.92,1,18,"M",67.53,NA,"recent","21_8_june"
"44","Pieris_rapae","Seattle_WA","Study.Site",21,9,"21_9_june",46.43,0.0290548867427888,0.0257714272917195,0.00665911673347179,-0.000667557809316268,0.0285797983377164,"june",1,9,176.42,1,18,"F",76.08,NA,"recent","21_9_june"
"45","Pieris_rapae","Seattle_WA","Study.Site",21,10,"21_10_june",44.64,0.0246257347294411,0.0296371223758476,0.00396623673189102,0.00616440937866507,0.0195658738657765,"june",1,10,NA,0,NA,NA,NA,NA,"recent","21_10_june"
"46","Pieris_rapae","Seattle_WA","Study.Site",21,11,"21_11_june",48.05,0.0258313673337176,0.0331369281049902,0.00388071139858175,0.0114736980166113,0.0249328570266742,"june",1,10,189.94,1,19,"F",80.69,NA,"recent","21_11_june"
"47","Pieris_rapae","Seattle_WA","Study.Site",21,12,"21_12_june",47.18,0.0202853890759255,0.0241866886427267,0.00738705548970329,-0.000461532272895351,0.017980124955354,"june",1,10,199.69,1,19,"M",95.72,NA,"recent","21_12_june"
"48","Pieris_rapae","Seattle_WA","Study.Site",21,13,"21_13_june",39.82,0.0236714574949106,0.0335289785241379,-0.000878245009286844,0.0124640615212077,0.0168354701015636,"june",1,11,179.43,1,20,"M",87.09,NA,"recent","21_13_june"
"49","Pieris_rapae","Seattle_WA","Study.Site",21,14,"21_14_june",62.47,0.0288728412432981,0.0231143719372319,0.00547217007815199,0.0130826556617456,0.0343467003985421,"june",1,10,209.88,1,19,"M",113.08,NA,"recent","21_14_june"
"50","Pieris_rapae","Seattle_WA","Study.Site",21,15,"21_15_june",47.08,0.0284850914146164,0.0325132450668426,0.0049171990583693,0.00410005910597651,0.0346445254066015,"june",1,10,190.69,1,19,"M",92.6,NA,"recent","21_15_june"
"51","Pieris_rapae","Seattle_WA","Study.Site",21,16,"21_16_june",52.78,0.0278818356739586,0.0194585519519964,0.00551447615419744,0.00930942474631444,0.0379300080859833,"june",1,11,232.15,1,20,"M",80.83,NA,"recent","21_16_june"
"52","Pieris_rapae","Seattle_WA","Study.Site",21,17,"21_17_june",59.03,0.0332132981006925,0.0332063596182188,0.00207182446396421,0.00816073334414784,0.0414769703314702,"june",1,10,239.02,1,19,"M",139.29,NA,"recent","21_17_june"
"53","Pieris_rapae","Seattle_WA","Study.Site",21,18,"21_18_june",38.72,0.0280676634231362,0.028904991804313,0.00525608703835963,-0.00014704159649233,0.0101886161184046,"june",1,10,164.18,1,18,"F",88.64,NA,"recent","21_18_june"
"54","Pieris_rapae","Seattle_WA","Study.Site",21,19,"21_19_june",45.06,0.0225948407383581,0.0256628547994443,0.00669978693285411,0.0100011565149386,0.0242206942399416,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","21_19_june"
"55","Pieris_rapae","Seattle_WA","Study.Site",22,1,"22_1_june",52.24,0.0234303387480497,0.0201494742647541,0.00633845775225821,0.0140506626326992,0.0306432791276998,"june",1,11,207.03,1,20,"M",96.37,NA,"recent","22_1_june"
"56","Pieris_rapae","Seattle_WA","Study.Site",22,2,"22_2_june",48.82,0.0213137101041479,0.0244305848219693,0.00773537103651753,0.0121898141342695,0.034449182145055,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","22_2_june"
"57","Pieris_rapae","Seattle_WA","Study.Site",23,1,"23_1_june",45.59,0.0255982203317388,0.0269276788808303,0.00814325831701707,0.00810442363802592,0.0328411840795319,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","23_1_june"
"58","Pieris_rapae","Seattle_WA","Study.Site",23,2,"23_2_june",48.11,0.0278993805571792,0.0218581978447271,0.0111235369457398,0.00533320673287234,0.0266901950866059,"june",1,10,205.02,1,19,"F",95.69,NA,"recent","23_2_june"
"59","Pieris_rapae","Seattle_WA","Study.Site",23,3,"23_3_june",41.04,0.0308086890992781,0.0185566170392003,0.00845623927242491,-4.86390806083179e-05,0.000712467227919574,"june",1,10,175.33,1,19,"F",105.28,NA,"recent","23_3_june"
"60","Pieris_rapae","Seattle_WA","Study.Site",23,4,"23_4_june",51.16,0.0316855387300245,0.0304580952013026,0.00607501712382698,0.00780566658476674,0.0208453946292493,"june",1,10,202.03,1,20,"M",95.16,NA,"recent","23_4_june"
"61","Pieris_rapae","Seattle_WA","Study.Site",23,5,"23_5_june",50.12,0.0230358501671535,0.0187151397441764,0.0108805470392955,0.00834916310250797,0.0181349101190263,"june",1,10,187.64,1,20,"F",86.63,NA,"recent","23_5_june"
"62","Pieris_rapae","Seattle_WA","Study.Site",23,6,"23_6_june",54.31,0.0353233585268171,0.0299439080376585,0.00511008405141606,0.00954957543015728,0.0277056845173621,"june",1,10,210.2,1,20,"M",97.99,NA,"recent","23_6_june"
"63","Pieris_rapae","Seattle_WA","Study.Site",23,7,"23_7_june",57.19,0.0259089776604136,0.0227870422850806,0.0105184881587794,0.0103936160233015,0.0356560493352786,"june",1,10,204.2,1,19,"M",132.93,NA,"recent","23_7_june"
